,Age,M,F
0,0-4,39673730,36834184
1,5-9,30581430,26816395
2,10-14,29491632,25332924
3,15-19,27805596,24438980
4,20-24,24688584,21571527
5,25-29,21732884,19977100
6,30-34,21548420,19584180
7,35-39,19318900,17816822
8,40-44,16548267,15599842
9,45-49,14961619,14081686
10,50-54,12255505,11367061
11,55-59,10717553,10566709
12,60-64,8000454,8549793
13,65-69,5634931,6805964
14,70-74,2926839,4041122
15,75-79,1402092,2234066
16,80-84,381174,854076
17,85-89,59660,170772
18,90-94,9509,31833
19,95-99,1002,3954
20,100+,84,414
