,Age,M,F
0,0-4,65363944,61144869
1,5-9,50205422,47273166
2,10-14,56292912,53007733
3,15-19,67231218,63944733
4,20-24,62927852,60245425
5,25-29,49736254,47007417
6,30-34,45540875,43134514
7,35-39,42142948,40048481
8,40-44,29016121,27008090
9,45-49,25218970,22303501
10,50-54,23996223,21291724
11,55-59,20758311,18740681
12,60-64,16344260,15207936
13,65-69,12602515,12805695
14,70-74,9099837,10054560
15,75-79,4705565,6263995
16,80-84,1858211,3085513
17,85-89,572839,1130518
18,90-94,108569,241874
19,95-99,17081,41169
20,100+,533,2180
