Age,year,sex,people
40,1962,M,19333585
45,1962,M,17442494
50,1962,M,13899476
55,1962,M,11071621
60,1962,M,8170832
65,1962,M,5541573
70,1962,M,3225761
75,1962,M,1392575
80,1962,M,411890
85,1962,M,69527
90,1962,M,13134
95,1962,M,1328
100,1962,M,58
0,1963,M,52108882
5,1963,M,49745519
10,1963,M,44087691
15,1963,M,30986713
20,1963,M,27382574
25,1963,M,26772884
30,1963,M,24409489
35,1963,M,21095866
40,1963,M,19041054
45,1963,M,17668602
50,1963,M,14175487
55,1963,M,10996351
60,1963,M,8283889
65,1963,M,5443993
70,1963,M,3254850
75,1963,M,1390941
80,1963,M,438412
85,1963,M,72632
90,1963,M,15243
95,1963,M,1672
100,1963,M,56
0,1964,M,55643791
5,1964,M,47750239
10,1964,M,46721579
15,1964,M,32447827
20,1964,M,27388168
25,1964,M,26838953
30,1964,M,24776710
35,1964,M,21570828
40,1964,M,18907846
45,1964,M,17864125
50,1964,M,14518278
55,1964,M,11031003
60,1964,M,8386883
65,1964,M,5402856
70,1964,M,3242135
75,1964,M,1364677
80,1964,M,434018
85,1964,M,73977
90,1964,M,14332
95,1964,M,1613
100,1964,M,56
0,1965,M,58742502
5,1965,M,46558428
10,1965,M,48346691
15,1965,M,34564179
20,1965,M,27797078
25,1965,M,26932384
30,1965,M,25204786
35,1965,M,22133600
40,1965,M,19042264
45,1965,M,18035992
50,1965,M,14930514
55,1965,M,11227480
60,1965,M,8484415
65,1965,M,5440387
70,1965,M,3197261
75,1965,M,1321272
80,1965,M,394604
85,1965,M,64797
90,1965,M,9687
95,1965,M,905
100,1965,M,57
0,1966,M,62972535
5,1966,M,46627542
10,1966,M,48542470
15,1966,M,36931392
20,1966,M,28261506
25,1966,M,26753569
30,1966,M,25392477
35,1966,M,22520541
40,1966,M,19198088
45,1966,M,18012351
50,1966,M,15303846
55,1966,M,11522122
60,1966,M,8622168
65,1966,M,5632303
70,1966,M,3316539
75,1966,M,1455992
80,1966,M,450544
85,1966,M,83704
90,1966,M,10111
95,1966,M,1199
100,1966,M,59
0,1967,M,65780433
5,1967,M,47951416
10,1967,M,47957815
15,1967,M,40086638
20,1967,M,29068931
25,1967,M,26652006
30,1967,M,25683053
35,1967,M,23023849
40,1967,M,19606887
45,1967,M,17964639
50,1967,M,15767718
55,1967,M,11956966
60,1967,M,8779901
65,1967,M,5880745
70,1967,M,3424057
75,1967,M,1596743
80,1967,M,498979
85,1967,M,102319
90,1967,M,11856
95,1967,M,1714
100,1967,M,62
0,1968,M,67399598
5,1968,M,50435832
10,1968,M,46877352
15,1968,M,43481459
20,1968,M,30269085
25,1968,M,26669938
30,1968,M,26004733
35,1968,M,23584647
40,1968,M,20187903
45,1968,M,17935138
50,1968,M,16254926
55,1968,M,12489125
60,1968,M,8982624
65,1968,M,6155234
70,1968,M,3535427
75,1968,M,1728467
80,1968,M,541566
85,1968,M,118787
90,1968,M,14336
95,1968,M,2100
100,1968,M,66
0,1969,M,68441759
5,1969,M,53473581
10,1969,M,46005317
15,1969,M,46240625
20,1969,M,31937303
25,1969,M,26877087
30,1969,M,26253373
35,1969,M,24119131
40,1969,M,20814009
45,1969,M,17996848
50,1969,M,16665884
55,1969,M,13050904
60,1969,M,9258231
65,1969,M,6413781
70,1969,M,3664974
75,1969,M,1833619
80,1969,M,581594
85,1969,M,130095
90,1969,M,15813
95,1969,M,2039
100,1969,M,71
0,1970,M,69402971
5,1970,M,56156481
10,1970,M,46011735
15,1970,M,47856207
20,1970,M,34097031
25,1970,M,27340206
30,1970,M,26390151
35,1970,M,24583779
40,1970,M,21412175
45,1970,M,18203789
50,1970,M,16951540
55,1970,M,13600675
60,1970,M,9621712
65,1970,M,6643389
70,1970,M,3818211
75,1970,M,1908609
80,1970,M,618845
85,1970,M,132770
90,1970,M,13867
95,1970,M,1237
100,1970,M,76
0,1971,M,70505837
5,1971,M,58667104
10,1971,M,46779518
15,1971,M,48299888
20,1971,M,36667002
25,1971,M,27978219
30,1971,M,26397810
35,1971,M,24951737
40,1971,M,21960726
45,1971,M,18496302
50,1971,M,17044841
55,1971,M,14042933
60,1971,M,9992893
65,1971,M,6851851
70,1971,M,4014801
75,1971,M,2016551
80,1971,M,709963
85,1971,M,159064
90,1971,M,18531
95,1971,M,1595
100,1971,M,81
0,1972,M,70468625
5,1972,M,61283234
10,1972,M,48407567
15,1972,M,47676219
20,1972,M,39883971
25,1972,M,28840154
30,1972,M,26369690
35,1972,M,25317714
40,1972,M,22540492
45,1972,M,18967057
50,1972,M,17054150
55,1972,M,14520188
60,1972,M,10438001
65,1972,M,7047582
70,1972,M,4237051
75,1972,M,2104620
80,1972,M,795861
85,1972,M,179911
90,1972,M,24919
95,1972,M,2282
100,1972,M,87
0,1973,M,69606563
5,1973,M,63814636
10,1973,M,50648467
15,1973,M,46491296
20,1973,M,43217718
25,1973,M,30002240
30,1973,M,26376160
35,1973,M,25634812
40,1973,M,23110323
45,1973,M,19553793
50,1973,M,17039046
55,1973,M,14986422
60,1973,M,10928870
65,1973,M,7254429
70,1973,M,4468311
75,1973,M,2184568
80,1973,M,865085
85,1973,M,196631
90,1973,M,31240
95,1973,M,2851
100,1973,M,92
0,1974,M,68092757
5,1974,M,66021159
10,1974,M,53135824
15,1974,M,45635754
20,1974,M,45883619
25,1974,M,31607073
30,1974,M,26549485
35,1974,M,25860949
40,1974,M,23638033
45,1974,M,20176746
50,1974,M,17112382
55,1974,M,15382344
60,1974,M,11434912
65,1974,M,7511240
70,1974,M,4687109
75,1974,M,2272146
80,1974,M,909571
85,1974,M,210082
90,1974,M,34177
95,1974,M,2849
100,1974,M,98
0,1975,M,66088242
5,1975,M,67624760
10,1975,M,55640913
15,1975,M,45681410
20,1975,M,47430209
25,1975,M,33712124
30,1975,M,26985927
35,1975,M,25988365
40,1975,M,24106750
45,1975,M,20787702
50,1975,M,17345536
55,1975,M,15677617
60,1975,M,11940338
65,1975,M,7840307
70,1975,M,4886376
75,1975,M,2376258
80,1975,M,930364
85,1975,M,216837
90,1975,M,29853
95,1975,M,1841
100,1975,M,104
0,1976,M,63091674
5,1976,M,68737525
10,1976,M,58271677
15,1976,M,46537616
20,1976,M,47983957
25,1976,M,36348056
30,1976,M,27682463
35,1976,M,26057739
40,1976,M,24530789
45,1976,M,21388662
50,1976,M,17705494
55,1976,M,15849193
60,1976,M,12428937
65,1976,M,8219423
70,1976,M,5072920
75,1976,M,2534198
80,1976,M,1004082
85,1976,M,262058
90,1976,M,37128
95,1976,M,2930
100,1976,M,109
0,1977,M,59968378
5,1977,M,68948926
10,1977,M,60948060
15,1977,M,48157748
20,1977,M,47395678
25,1977,M,39575870
30,1977,M,28558080
35,1977,M,26052037
40,1977,M,24914828
45,1977,M,21989513
50,1977,M,18206559
55,1977,M,15915519
60,1977,M,12939796
65,1977,M,8652777
70,1977,M,5244631
75,1977,M,2697615
80,1977,M,1055555
85,1977,M,299777
90,1977,M,44667
95,1977,M,4794
100,1977,M,115
0,1978,M,56939525
5,1978,M,68228617
10,1978,M,63532115
15,1978,M,50380832
20,1978,M,46230831
25,1978,M,42908634
30,1978,M,29723507
35,1978,M,26073743
40,1978,M,25243326
45,1978,M,22576505
50,1978,M,18810111
55,1978,M,15956469
60,1978,M,13441958
65,1978,M,9126691
70,1978,M,5433595
75,1978,M,2857303
80,1978,M,1090690
85,1978,M,323487
90,1978,M,52097
95,1978,M,6250
100,1978,M,124
0,1979,M,54338183
5,1979,M,66772884
10,1979,M,65713206
15,1979,M,52873785
20,1979,M,45393893
25,1979,M,45578296
30,1979,M,31331738
35,1979,M,26262389
40,1979,M,25484069
45,1979,M,23124255
50,1979,M,19448203
55,1979,M,16085904
60,1979,M,13879317
65,1979,M,9621349
70,1979,M,5674968
75,1979,M,3001531
80,1979,M,1120052
85,1979,M,328498
90,1979,M,55404
95,1979,M,6304
100,1979,M,137
0,1980,M,52366875
5,1980,M,64958712
10,1980,M,67160955
15,1980,M,55388171
20,1980,M,45447771
25,1980,M,47128738
30,1980,M,33436245
35,1980,M,26709635
40,1980,M,25626642
45,1980,M,23611616
50,1980,M,20075359
55,1980,M,16367595
60,1980,M,14219735
65,1980,M,10125302
70,1980,M,5983889
75,1980,M,3131339
80,1980,M,1150706
85,1980,M,311887
90,1980,M,48710
95,1980,M,4130
100,1980,M,157
0,1981,M,49992605
5,1981,M,63100818
10,1981,M,68036866
15,1981,M,58095634
20,1981,M,46360829
25,1981,M,47743058
30,1981,M,36105045
35,1981,M,27435593
40,1981,M,25729548
45,1981,M,24056796
50,1981,M,20689423
55,1981,M,16741579
60,1981,M,14408211
65,1981,M,10584115
70,1981,M,6312886
75,1981,M,3291424
80,1981,M,1276869
85,1981,M,354949
90,1981,M,61680
95,1981,M,5710
100,1981,M,185
0,1982,M,49347874
5,1982,M,60502488
10,1982,M,68075839
15,1982,M,60792666
20,1982,M,47947157
25,1982,M,47133475
30,1982,M,39299445
35,1982,M,28290606
40,1982,M,25713993
45,1982,M,24423977
50,1982,M,21272138
55,1982,M,17221121
60,1982,M,14477156
65,1982,M,11053177
70,1982,M,6665393
75,1982,M,3421185
80,1982,M,1389513
85,1982,M,384011
90,1982,M,74605
95,1982,M,8340
100,1982,M,221
0,1983,M,50051858
5,1983,M,57391027
10,1983,M,67461964
15,1983,M,63313963
20,1983,M,50097939
25,1983,M,45922570
30,1983,M,42567747
35,1983,M,29415767
40,1983,M,25710590
45,1983,M,24726908
50,1983,M,21831009
55,1983,M,17789588
60,1983,M,14520568
65,1983,M,11513830
70,1983,M,7044242
75,1983,M,3549196
80,1983,M,1477649
85,1983,M,400800
90,1983,M,84983
95,1983,M,10393
100,1983,M,263
0,1984,M,51669160
5,1984,M,54256290
10,1984,M,66322001
15,1984,M,65409303
20,1984,M,52552405
25,1984,M,45074116
30,1984,M,45203495
35,1984,M,31002950
40,1984,M,25892523
45,1984,M,24967142
50,1984,M,22369845
55,1984,M,18409567
60,1984,M,14665307
65,1984,M,11926955
70,1984,M,7450451
75,1984,M,3708881
80,1984,M,1536047
85,1984,M,407823
90,1984,M,87380
95,1984,M,10433
100,1984,M,309
0,1985,M,53900674
5,1985,M,51732174
10,1985,M,64612633
15,1985,M,66883278
20,1985,M,55098392
25,1985,M,45164605
30,1985,M,46781639
35,1985,M,33122696
40,1985,M,26363382
45,1985,M,25143913
50,1985,M,22880355
55,1985,M,19049306
60,1985,M,14976729
65,1985,M,12269120
70,1985,M,7883942
75,1985,M,3918036
80,1985,M,1570911
85,1985,M,402897
90,1985,M,74438
95,1985,M,7205
100,1985,M,360
0,1986,M,57613414
5,1986,M,50162623
10,1986,M,62259761
15,1986,M,67623066
20,1986,M,57665816
25,1986,M,45969773
30,1986,M,47285125
35,1986,M,35688179
40,1986,M,27022866
45,1986,M,25192180
50,1986,M,23274402
55,1986,M,19598115
60,1986,M,15312326
65,1986,M,12429223
70,1986,M,8258531
75,1986,M,4177848
80,1986,M,1694539
85,1986,M,473571
90,1986,M,87162
95,1986,M,9754
100,1986,M,414
0,1987,M,61612614
5,1987,M,49637828
10,1987,M,59403881
15,1987,M,67752385
20,1987,M,60361949
25,1987,M,47555086
30,1987,M,46694543
35,1987,M,38861573
40,1987,M,27876010
45,1987,M,25189068
50,1987,M,23656565
55,1987,M,20175929
60,1987,M,15781765
65,1987,M,12519065
70,1987,M,8672475
75,1987,M,4440882
80,1987,M,1787257
85,1987,M,533193
90,1987,M,98529
95,1987,M,13943
100,1987,M,471
0,1988,M,65363944
5,1988,M,50205422
10,1988,M,56292912
15,1988,M,67231218
20,1988,M,62927852
25,1988,M,49736254
30,1988,M,45540875
35,1988,M,42142948
40,1988,M,29016121
45,1988,M,25218970
50,1988,M,23996223
55,1988,M,20758311
60,1988,M,16344260
65,1988,M,12602515
70,1988,M,9099837
75,1988,M,4705565
80,1988,M,1858211
85,1988,M,572839
90,1988,M,108569
95,1988,M,17081
100,1988,M,533
0,1989,M,67968967
5,1989,M,51602143
10,1989,M,53479613
15,1989,M,66074761
20,1989,M,65045863
25,1989,M,52201844
30,1989,M,44726124
35,1989,M,44785490
40,1989,M,30603293
45,1989,M,25423772
50,1989,M,24265433
55,1989,M,21322985
60,1989,M,16952950
65,1989,M,12779253
70,1989,M,9490277
75,1989,M,4979441
80,1989,M,1926065
85,1989,M,586892
90,1989,M,111498
95,1989,M,16914
100,1989,M,600
0,1990,M,68872194
5,1990,M,53316561
10,1990,M,51489006
15,1990,M,64345914
20,1990,M,66518943
25,1990,M,54736019
30,1990,M,44821763
35,1990,M,46359500
40,1990,M,32707193
45,1990,M,25902876
50,1990,M,24462060
55,1990,M,21855872
60,1990,M,17583763
65,1990,M,13105870
70,1990,M,9816398
75,1990,M,5277930
80,1990,M,2004682
85,1990,M,571309
90,1990,M,99362
95,1990,M,11588
100,1990,M,672
0,1991,M,70542115
5,1991,M,55286430
10,1991,M,50151902
15,1991,M,61781288
20,1991,M,67061359
25,1991,M,57121228
30,1991,M,45487921
35,1991,M,46712472
40,1991,M,35142174
45,1991,M,26464158
50,1991,M,24413639
55,1991,M,22138966
60,1991,M,18009946
65,1991,M,13313109
70,1991,M,9864824
75,1991,M,5595579
80,1991,M,2211848
85,1991,M,642231
90,1991,M,121864
95,1991,M,14069
100,1991,M,747
0,1992,M,67901084
5,1992,M,58371813
10,1992,M,49795738
15,1992,M,58894392
20,1992,M,67244957
25,1992,M,59842190
30,1992,M,47095859
35,1992,M,46160421
40,1992,M,38305950
45,1992,M,27318997
50,1992,M,24418410
55,1992,M,22502718
60,1992,M,18546578
65,1992,M,13697420
70,1992,M,9876849
75,1992,M,5924733
80,1992,M,2406033
85,1992,M,695540
90,1992,M,143742
95,1992,M,18596
100,1992,M,830
0,1993,M,62527829
5,1993,M,62240090
10,1993,M,50200832
15,1993,M,55917303
20,1993,M,66896221
25,1993,M,62547011
30,1993,M,49382476
35,1993,M,45135190
40,1993,M,41652359
45,1993,M,28513017
50,1993,M,24510032
55,1993,M,22877190
60,1993,M,19133841
65,1993,M,14203928
70,1993,M,9912213
75,1993,M,6221839
80,1993,M,2577358
85,1993,M,734478
90,1993,M,160833
95,1993,M,22175
100,1993,M,921
0,1994,M,56947053
5,1994,M,65939926
10,1994,M,51259303
15,1994,M,53258917
20,1994,M,65809330
25,1994,M,64719746
30,1994,M,51884888
35,1994,M,44379956
40,1994,M,44311316
45,1994,M,30115749
50,1994,M,24746698
55,1994,M,23161571
60,1994,M,19685784
65,1994,M,14751907
70,1994,M,10032076
75,1994,M,6429448
80,1994,M,2720753
85,1994,M,764373
90,1994,M,163441
95,1994,M,21909
100,1994,M,1014
0,1995,M,52950487
5,1995,M,68195956
10,1995,M,53099620
15,1995,M,51260474
20,1995,M,63959915
25,1995,M,66056380
30,1995,M,54300413
35,1995,M,44398559
40,1995,M,45779667
45,1995,M,32142267
50,1995,M,25186686
55,1995,M,23318159
60,1995,M,20157378
65,1995,M,15297697
70,1995,M,10265854
75,1995,M,6539322
80,1995,M,2837669
85,1995,M,781806
90,1995,M,142279
95,1995,M,15170
100,1995,M,1107
0,1996,M,46296911
5,1996,M,68959698
10,1996,M,56197360
15,1996,M,50315992
20,1996,M,61954322
25,1996,M,67181416
30,1996,M,57165485
35,1996,M,45455972
40,1996,M,46529148
45,1996,M,34831472
50,1996,M,25950589
55,1996,M,23475718
60,1996,M,20596863
65,1996,M,15800441
70,1996,M,10559135
75,1996,M,6682676
80,1996,M,3106754
85,1996,M,917490
90,1996,M,171738
95,1996,M,19706
