Age,year,sex,people
70,2011,M,15766638
75,2011,M,10248574
80,2011,M,5037301
85,2011,M,1842063
90,2011,M,498173
95,2011,M,73026
100,2011,M,4846
0,2012,M,46416760
5,2012,M,44413913
10,2012,M,45412632
15,2012,M,48470764
20,2012,M,63287168
25,2012,M,58899621
30,2012,M,48367782
35,2012,M,57269145
40,2012,M,65119392
45,2012,M,57479915
50,2012,M,44617814
55,2012,M,42409898
60,2012,M,33448924
65,2012,M,21397833
70,2012,M,15765016
75,2012,M,10544857
80,2012,M,5309074
85,2012,M,1966176
90,2012,M,539363
95,2012,M,95172
100,2012,M,5412
0,2013,M,46513426
5,2013,M,44704119
10,2013,M,44859066
15,2013,M,47757367
20,2013,M,59064779
25,2013,M,63015582
30,2013,M,48605353
35,2013,M,54234310
40,2013,M,64651157
45,2013,M,59971775
50,2013,M,46684168
55,2013,M,41409393
60,2013,M,36383867
65,2013,M,22319217
70,2013,M,15842605
75,2013,M,10803661
80,2013,M,5530126
85,2013,M,2051348
90,2013,M,563435
95,2013,M,111808
100,2013,M,6053
0,2014,M,46500753
5,2014,M,45082900
10,2014,M,44454445
15,2014,M,47219427
20,2014,M,54968650
25,2014,M,65942807
30,2014,M,49720596
35,2014,M,51587093
40,2014,M,63551096
45,2014,M,62029741
50,2014,M,49017464
55,2014,M,40770221
60,2014,M,38754673
65,2014,M,23664170
70,2014,M,16106528
75,2014,M,10994469
80,2014,M,5695760
85,2014,M,2111808
90,2014,M,558252
95,2014,M,111731
100,2014,M,6781
0,2015,M,46437638
5,2015,M,45436987
10,2015,M,44264668
15,2015,M,46554380
20,2015,M,51864604
25,2015,M,66864149
30,2015,M,51711405
35,2015,M,49705968
40,2015,M,61857540
45,2015,M,63435589
50,2015,M,51414420
55,2015,M,40972684
60,2015,M,40173473
65,2015,M,25506514
70,2015,M,16608421
75,2015,M,11127053
80,2015,M,5816694
85,2015,M,2143736
90,2015,M,518058
95,2015,M,86423
100,2015,M,7600
0,2016,M,46284093
5,2016,M,45756632
10,2016,M,44268616
15,2016,M,45883566
20,2016,M,49602593
25,2016,M,65923191
30,2016,M,54604901
35,2016,M,48542732
40,2016,M,59608805
45,2016,M,64191544
50,2016,M,53852396
55,2016,M,41772821
60,2016,M,40523733
65,2016,M,27595823
70,2016,M,17125109
75,2016,M,11294880
80,2016,M,6134167
85,2016,M,2370921
90,2016,M,608023
95,2016,M,99338
100,2016,M,8529
0,2017,M,46006642
5,2017,M,46027934
10,2017,M,44435788
15,2017,M,45245050
20,2017,M,48231103
25,2017,M,62942093
30,2017,M,58543718
35,2017,M,48027411
40,2017,M,56789269
45,2017,M,64358378
50,2017,M,56426920
55,2017,M,43269336
60,2017,M,40005282
65,2017,M,30227615
70,2017,M,17726374
75,2017,M,11413408
80,2017,M,6421818
85,2017,M,2556401
90,2017,M,677292
95,2017,M,120988
100,2017,M,9560
0,2018,M,45618709
5,2018,M,46220512
10,2018,M,44718792
15,2018,M,44682603
20,2018,M,47509883
25,2018,M,58727727
30,2018,M,62640869
35,2018,M,48264226
40,2018,M,53781444
45,2018,M,63910330
50,2018,M,58900831
55,2018,M,45296934
60,2018,M,39115103
65,2018,M,32970472
70,2018,M,18538987
75,2018,M,11554656
80,2018,M,6656302
85,2018,M,2690359
90,2018,M,729890
95,2018,M,138507
100,2018,M,10647
0,2019,M,45106267
5,2019,M,46319087
10,2019,M,45044032
15,2019,M,44286173
20,2019,M,46956410
25,2019,M,54633535
30,2019,M,65544747
35,2019,M,49370823
40,2019,M,51155493
45,2019,M,62836913
50,2019,M,60946291
55,2019,M,47588180
60,2019,M,38607054
65,2019,M,35185041
70,2019,M,19746314
75,2019,M,11801212
80,2019,M,6808650
85,2019,M,2787103
90,2019,M,748881
95,2019,M,140322
100,2019,M,11731
0,2020,M,44456332
5,2020,M,46320144
10,2020,M,45349923
15,2020,M,44103122
20,2020,M,46273865
25,2020,M,51522843
30,2020,M,66443228
35,2020,M,51345507
40,2020,M,49289359
45,2020,M,61173349
50,2020,M,62348020
55,2020,M,49958045
60,2020,M,38917285
65,2020,M,36526788
70,2020,M,21425163
75,2020,M,12207276
80,2020,M,6883629
85,2020,M,2843084
90,2020,M,731228
95,2020,M,116377
100,2020,M,12773
0,1950,F,36834184
5,1950,F,26816395
10,1950,F,25332924
15,1950,F,24438980
20,1950,F,21571527
25,1950,F,19977100
30,1950,F,19584180
35,1950,F,17816822
40,1950,F,15599842
45,1950,F,14081686
50,1950,F,11367061
55,1950,F,10566709
60,1950,F,8549793
65,1950,F,6805964
70,1950,F,4041122
75,1950,F,2234066
80,1950,F,854076
85,1950,F,170772
90,1950,F,31833
95,1950,F,3954
100,1950,F,414
0,1951,F,40888244
5,1951,F,27851870
10,1951,F,25416899
15,1951,F,24789479
20,1951,F,22098611
25,1951,F,20116320
30,1951,F,19672207
35,1951,F,18145288
40,1951,F,15844383
45,1951,F,14334081
50,1951,F,11641329
55,1951,F,10514911
60,1951,F,8578665
65,1951,F,6811251
70,1951,F,4182430
75,1951,F,2264684
80,1951,F,934854
85,1951,F,216141
90,1951,F,34068
95,1951,F,4974
100,1951,F,454
0,1952,F,45239319
5,1952,F,28996799
10,1952,F,25289030
15,1952,F,24830332
20,1952,F,22530196
25,1952,F,20148812
30,1952,F,19509231
35,1952,F,18320735
40,1952,F,16013579
45,1952,F,14352187
50,1952,F,11963623
55,1952,F,10324847
60,1952,F,8616049
65,1952,F,6678501
70,1952,F,4315750
75,1952,F,2233175
80,1952,F,979045
85,1952,F,252336
90,1952,F,36202
95,1952,F,6457
100,1952,F,468
0,1953,F,48481727
5,1953,F,30448275
10,1953,F,25220183
15,1953,F,24770500
20,1953,F,22973197
25,1953,F,20244132
30,1953,F,19295247
35,1953,F,18462748
40,1953,F,16216692
45,1953,F,14299413
50,1953,F,12338089
55,1953,F,10151681
60,1953,F,8693640
65,1953,F,6510887
70,1953,F,4437595
75,1953,F,2184783
80,1953,F,982296
85,1953,F,274010
90,1953,F,39328
95,1953,F,7429
100,1953,F,467
0,1954,F,50095382
5,1954,F,32229862
10,1954,F,25420334
15,1954,F,24731168
20,1954,F,23418707
25,1954,F,20486223
30,1954,F,19173849
35,1954,F,18606148
40,1954,F,16482751
45,1954,F,14314424
50,1954,F,12697100
55,1954,F,10126404
60,1954,F,8783492
65,1954,F,6400682
70,1954,F,4516718
75,1954,F,2158029
80,1954,F,943534
85,1954,F,276055
90,1954,F,40614
95,1954,F,7004
100,1954,F,454
0,1955,F,50408845
5,1955,F,34202170
10,1955,F,25985605
15,1955,F,24744378
20,1955,F,23812240
25,1955,F,20875272
30,1955,F,19192408
35,1955,F,18730517
40,1955,F,16790110
45,1955,F,14450817
50,1955,F,12982075
55,1955,F,10286828
60,1955,F,8856393
65,1955,F,6387654
70,1955,F,4534120
75,1955,F,2164359
80,1955,F,868574
85,1955,F,249756
90,1955,F,35137
95,1955,F,4317
100,1955,F,435
0,1956,F,51889506
5,1956,F,36385236
10,1956,F,26692512
15,1956,F,24548398
20,1956,F,23889840
25,1956,F,21156756
30,1956,F,19115116
35,1956,F,18599844
40,1956,F,16952004
45,1956,F,14555718
50,1956,F,13032807
55,1956,F,10374058
60,1956,F,8715112
65,1956,F,6375689
70,1956,F,4457858
75,1956,F,2243664
80,1956,F,889185
85,1956,F,274298
90,1956,F,45442
95,1956,F,4668
100,1956,F,407
0,1957,F,51121233
5,1957,F,39159109
10,1957,F,27872927
15,1957,F,24518083
20,1957,F,24042147
25,1957,F,21678119
30,1957,F,19240007
35,1957,F,18519260
40,1957,F,17224867
45,1957,F,14829697
50,1957,F,13099781
55,1957,F,10669693
60,1957,F,8588669
65,1957,F,6461832
70,1957,F,4357070
75,1957,F,2330410
80,1957,F,878215
85,1957,F,286483
90,1957,F,54619
95,1957,F,5836
100,1957,F,380
0,1958,F,49328690
5,1958,F,42242497
10,1958,F,29388859
15,1958,F,24630113
20,1958,F,24177549
25,1958,F,22286488
30,1958,F,19486367
35,1958,F,18451104
40,1958,F,17509714
45,1958,F,15182557
50,1958,F,13169467
55,1958,F,11064722
60,1958,F,8502108
65,1958,F,6575089
70,1958,F,4260337
75,1958,F,2388032
80,1958,F,839051
85,1958,F,279589
90,1958,F,59573
95,1958,F,6720
100,1958,F,353
0,1959,F,47755536
5,1959,F,45080056
10,1959,F,31176033
15,1959,F,24921790
20,1959,F,24227914
25,1959,F,22800634
30,1959,F,19784351
35,1959,F,18392463
40,1959,F,17703577
45,1959,F,15516566
50,1959,F,13263260
55,1959,F,11421953
60,1959,F,8503930
65,1959,F,6641910
70,1959,F,4198067
75,1959,F,2380491
80,1959,F,782499
85,1959,F,245442
90,1959,F,54783
95,1959,F,6173
100,1959,F,328
0,1960,F,47186883
5,1960,F,47005601
10,1960,F,33264529
15,1960,F,25452956
20,1960,F,24191227
25,1960,F,23130394
30,1960,F,20107692
35,1960,F,18363669
40,1960,F,17766213
45,1960,F,15785361
50,1960,F,13404331
55,1960,F,11670562
60,1960,F,8620071
65,1960,F,6643429
70,1960,F,4178354
75,1960,F,2306925
80,1960,F,714029
85,1960,F,177893
90,1960,F,32637
95,1960,F,3083
100,1960,F,305
0,1961,F,45387928
5,1961,F,48445594
10,1961,F,35924059
15,1961,F,26365349
20,1961,F,24218932
25,1961,F,23431502
30,1961,F,20585551
35,1961,F,18467730
40,1961,F,17821475
45,1961,F,16093994
50,1961,F,13621269
55,1961,F,11806180
60,1961,F,8804205
65,1961,F,6633019
70,1961,F,4263887
75,1961,F,2365174
80,1961,F,826968
85,1961,F,198160
90,1961,F,38475
95,1961,F,3993
100,1961,F,288
0,1962,F,46183209
5,1962,F,48334925
10,1962,F,38761367
15,1962,F,27366217
20,1962,F,24087253
25,1962,F,23499783
30,1962,F,21031174
35,1962,F,18525177
40,1962,F,17692188
45,1962,F,16305908
50,1962,F,13830162
55,1962,F,11812341
60,1962,F,9039801
65,1962,F,6536856
70,1962,F,4332911
75,1962,F,2359161
80,1962,F,920702
85,1962,F,206693
90,1962,F,44385
95,1962,F,5790
100,1962,F,275
0,1963,F,48852928
5,1963,F,46896926
10,1963,F,41650421
15,1963,F,28603781
20,1963,F,23986301
25,1963,F,23441448
30,1963,F,21456183
35,1963,F,18614782
40,1963,F,17492237
45,1963,F,16454377
50,1963,F,14054587
55,1963,F,11782948
60,1963,F,9306265
65,1963,F,6432808
70,1963,F,4380305
75,1963,F,2322603
80,1963,F,972290
85,1963,F,209825
90,1963,F,47919
95,1963,F,7080
100,1963,F,269
0,1964,F,52089280
5,1964,F,45017422
10,1964,F,44147928
15,1964,F,30297709
20,1964,F,24172081
25,1964,F,23398699
30,1964,F,21872007
35,1964,F,18834377
40,1964,F,17374149
45,1964,F,16585290
50,1964,F,14326362
55,1964,F,11842849
60,1964,F,9573188
65,1964,F,6417863
70,1964,F,4401534
75,1964,F,2290389
80,1964,F,970271
85,1964,F,210569
90,1964,F,45712
95,1964,F,6757
100,1964,F,272
0,1965,F,55034414
5,1965,F,43857395
10,1965,F,45682614
15,1965,F,32525977
20,1965,F,24777308
25,1965,F,23437016
30,1965,F,22263408
35,1965,F,19215121
40,1965,F,17407364
45,1965,F,16710177
50,1965,F,14647568
55,1965,F,12043877
60,1965,F,9820930
65,1965,F,6534224
70,1965,F,4399867
75,1965,F,2273823
80,1965,F,920368
85,1965,F,200106
90,1965,F,33936
95,1965,F,3909
100,1965,F,285
0,1966,F,59160449
5,1966,F,43923802
10,1966,F,45891644
15,1966,F,34926980
20,1966,F,25502620
25,1966,F,23316992
30,1966,F,22425461
35,1966,F,19566752
40,1966,F,17409885
45,1966,F,16653032
50,1966,F,14843831
55,1966,F,12219289
60,1966,F,9992308
65,1966,F,6805460
70,1966,F,4483022
75,1966,F,2397213
80,1966,F,993248
85,1966,F,248644
90,1966,F,38028
95,1966,F,4864
100,1966,F,305
0,1967,F,62088957
5,1967,F,45169126
10,1967,F,45338165
15,1967,F,37980824
20,1967,F,26582705
25,1967,F,23294487
30,1967,F,22608676
35,1967,F,20102235
40,1967,F,17564124
45,1967,F,16613502
50,1967,F,15112935
55,1967,F,12504801
60,1967,F,10147740
65,1967,F,7181512
70,1967,F,4564538
75,1967,F,2538880
80,1967,F,1048173
85,1967,F,293814
90,1967,F,42368
95,1967,F,6551
100,1967,F,336
0,1968,F,63981663
5,1968,F,47521160
10,1968,F,44295223
15,1968,F,41191930
20,1968,F,28035647
25,1968,F,23418009
30,1968,F,22782857
35,1968,F,20726361
40,1968,F,17842088
45,1968,F,16598754
50,1968,F,15405333
55,1968,F,12859976
60,1968,F,10311310
65,1968,F,7602754
70,1968,F,4676054
75,1968,F,2683885
80,1968,F,1088909
85,1968,F,328385
90,1968,F,47858
95,1968,F,7842
100,1968,F,374
0,1969,F,65277959
5,1969,F,50434635
10,1969,F,43442741
15,1969,F,43778130
20,1969,F,29888849
25,1969,F,23766634
30,1969,F,22913429
35,1969,F,21298547
40,1969,F,18206224
45,1969,F,16627819
50,1969,F,15651899
55,1969,F,13226941
60,1969,F,10514697
65,1969,F,7989558
70,1969,F,4851004
75,1969,F,2810724
80,1969,F,1123755
85,1969,F,347061
90,1969,F,51206
95,1969,F,7678
100,1969,F,412
0,1970,F,66328638
5,1970,F,53081152
10,1970,F,43429752
15,1970,F,45290224
20,1970,F,32136409
25,1970,F,24407984
30,1970,F,23003611
35,1970,F,21742011
40,1970,F,18638142
45,1970,F,16723256
50,1970,F,15821541
55,1970,F,13575172
60,1970,F,10776320
65,1970,F,8306708
70,1970,F,5099875
75,1970,F,2915838
80,1970,F,1160136
85,1970,F,345148
90,1970,F,48466
95,1970,F,5098
100,1970,F,448
0,1971,F,67487669
5,1971,F,55536741
10,1971,F,44132960
15,1971,F,45684393
20,1971,F,34696867
25,1971,F,25260384
30,1971,F,23021626
35,1971,F,22039250
40,1971,F,19110126
45,1971,F,16851181
50,1971,F,15886268
55,1971,F,13856989
60,1971,F,11021029
65,1971,F,8515047
70,1971,F,5353239
75,1971,F,3017023
80,1971,F,1272921
85,1971,F,387050
90,1971,F,65013
95,1971,F,6206
100,1971,F,479
0,1972,F,67305850
5,1972,F,58176546
10,1972,F,45668447
15,1972,F,45086013
20,1972,F,37807653
25,1972,F,26384874
30,1972,F,23058147
35,1972,F,22287203
40,1972,F,19702717
45,1972,F,17071100
50,1972,F,15922186
55,1972,F,14172427
60,1972,F,11333291
65,1972,F,8694437
70,1972,F,5671594
75,1972,F,3096784
80,1972,F,1381412
85,1972,F,415564
90,1972,F,81460
95,1972,F,8373
100,1972,F,509
0,1973,F,66161182
5,1973,F,60802746
10,1973,F,47799387
15,1973,F,43964768
20,1973,F,40982457
25,1973,F,27814779
30,1973,F,23179503
35,1973,F,22470917
40,1973,F,20333811
45,1973,F,17368211
50,1973,F,15947035
55,1973,F,14484422
60,1973,F,11685165
65,1973,F,8868267
70,1973,F,6018067
75,1973,F,3182185
80,1973,F,1470228
85,1973,F,433362
90,1973,F,94576
95,1973,F,10208
100,1973,F,539
0,1974,F,64385587
5,1974,F,63118846
10,1974,F,50189215
15,1974,F,43146116
20,1974,F,43500010
25,1974,F,29621437
30,1974,F,23505206
35,1974,F,22594188
40,1974,F,20898395
45,1974,F,17736719
50,1974,F,16005725
55,1974,F,14750936
60,1974,F,12046330
65,1974,F,9076224
70,1974,F,6342548
75,1974,F,3306057
80,1974,F,1528213
85,1974,F,445085
90,1974,F,98116
95,1974,F,10372
100,1974,F,572
0,1975,F,62256076
5,1975,F,64772484
10,1975,F,52644002
15,1975,F,43166282
20,1975,F,44947308
25,1975,F,31819394
30,1975,F,24120781
35,1975,F,22677456
40,1975,F,21337672
45,1975,F,18173452
50,1975,F,16131005
55,1975,F,14952277
60,1975,F,12400940
65,1975,F,9340756
70,1975,F,6621533
75,1975,F,3483906
80,1975,F,1559929
85,1975,F,449250
90,1975,F,86298
95,1975,F,7646
100,1975,F,609
0,1976,F,59048601
5,1976,F,65870035
10,1976,F,55312152
15,1976,F,43976349
20,1976,F,45471802
25,1976,F,34465095
30,1976,F,25041876
35,1976,F,22769280
40,1976,F,21708592
45,1976,F,18702199
50,1976,F,16320045
55,1976,F,15086691
60,1976,F,12734021
65,1976,F,9608759
70,1976,F,6814641
75,1976,F,3718490
80,1976,F,1656947
85,1976,F,518765
90,1976,F,103070
95,1976,F,10721
100,1976,F,651
0,1977,F,56017280
5,1977,F,65938138
10,1977,F,58053231
15,1977,F,45482489
20,1977,F,44888424
25,1977,F,37577079
30,1977,F,26170728
35,1977,F,22820037
40,1977,F,21976435
45,1977,F,19306979
50,1977,F,16556071
55,1977,F,15156465
60,1977,F,13073350
65,1977,F,9921337
70,1977,F,6971311
75,1977,F,3974954
80,1977,F,1726364
85,1977,F,576983
90,1977,F,116185
95,1977,F,15809
100,1977,F,698
0,1978,F,53285554
5,1978,F,64972074
10,1978,F,60718823
15,1978,F,47563628
20,1978,F,43747869
25,1978,F,40720144
30,1978,F,27581541
35,1978,F,22936657
40,1978,F,22161641
45,1978,F,19937913
50,1978,F,16854354
55,1978,F,15205108
60,1978,F,13402667
65,1978,F,10270440
70,1978,F,7132176
75,1978,F,4230810
80,1978,F,1785466
85,1978,F,615344
90,1978,F,126382
95,1978,F,19685
100,1978,F,755
0,1979,F,50999445
5,1979,F,63256885
10,1979,F,62957867
15,1979,F,49952266
20,1979,F,42923340
25,1979,F,43216742
30,1979,F,29374210
35,1979,F,23262791
40,1979,F,22291108
45,1979,F,20511116
50,1979,F,17229949
55,1979,F,15291788
60,1979,F,13694411
65,1979,F,10640778
70,1979,F,7339790
75,1979,F,4458312
80,1979,F,1856896
85,1979,F,631320
90,1979,F,128223
95,1979,F,19778
100,1979,F,832
0,1980,F,49227644
5,1980,F,61282503
10,1980,F,64390579
15,1980,F,52436685
20,1980,F,42955050
25,1980,F,44666519
30,1980,F,31569844
35,1980,F,23887152
40,1980,F,22389813
45,1980,F,20970701
50,1980,F,17684959
55,1980,F,15450080
60,1980,F,13932151
65,1980,F,11019942
70,1980,F,7611304
75,1980,F,4652753
80,1980,F,1951725
85,1980,F,624533
90,1980,F,116082
95,1980,F,14108
100,1980,F,932
0,1981,F,47167490
5,1981,F,59342302
10,1981,F,65127794
15,1981,F,55141138
20,1981,F,43786992
25,1981,F,45212881
30,1981,F,34218239
35,1981,F,24815480
40,1981,F,22495902
45,1981,F,21345798
50,1981,F,18218106
55,1981,F,15647507
60,1981,F,14078018
65,1981,F,11345774
70,1981,F,7869192
75,1981,F,4830858
80,1981,F,2139736
85,1981,F,692945
90,1981,F,143939
95,1981,F,17234
100,1981,F,1063
0,1982,F,46600253
5,1982,F,56813818
10,1982,F,64972977
15,1982,F,57922297
20,1982,F,45266771
25,1982,F,44614841
30,1982,F,37298253
35,1982,F,25926258
40,1982,F,22541930
45,1982,F,21602680
50,1982,F,18811016
55,1982,F,15878093
60,1982,F,14154031
65,1982,F,11672877
70,1982,F,8156111
75,1982,F,4970811
80,1982,F,2322136
85,1982,F,737415
90,1982,F,168283
95,1982,F,22538
100,1982,F,1220
0,1983,F,47192553
5,1983,F,53907090
10,1983,F,64132491
15,1983,F,60561912
20,1983,F,47306225
25,1983,F,43457294
30,1983,F,40399618
35,1983,F,27311813
40,1983,F,22649745
45,1983,F,21779385
50,1983,F,19426155
55,1983,F,16169900
60,1983,F,14211575
65,1983,F,11994876
70,1983,F,8478079
75,1983,F,5108382
80,1983,F,2482102
85,1983,F,765271
90,1983,F,185957
95,1983,F,26732
100,1983,F,1392
0,1984,F,48614535
5,1984,F,51030484
10,1984,F,62800317
15,1984,F,62723971
20,1984,F,49679061
25,1984,F,42641741
30,1984,F,42881347
35,1984,F,29093344
40,1984,F,22978703
45,1984,F,21918700
50,1984,F,19996337
55,1984,F,16551174
60,1984,F,14317807
65,1984,F,12294936
70,1984,F,8831902
75,1984,F,5281372
80,1984,F,2606623
85,1984,F,790291
90,1984,F,188598
95,1984,F,26781
100,1984,F,1565
0,1985,F,50640290
5,1985,F,48703655
10,1985,F,61006270
15,1985,F,64166327
20,1985,F,52194814
25,1985,F,42711781
30,1985,F,44360065
35,1985,F,31301927
40,1985,F,23622993
45,1985,F,22048021
50,1985,F,20474136
55,1985,F,17027677
60,1985,F,14508497
65,1985,F,12560296
70,1985,F,9209482
75,1985,F,5509322
80,1985,F,2701209
85,1985,F,815626
90,1985,F,168629
95,1985,F,19929
100,1985,F,1731
0,1986,F,54057124
5,1986,F,47232016
10,1986,F,58674722
15,1986,F,64792170
20,1986,F,54788366
25,1986,F,43459945
30,1986,F,44821087
35,1986,F,33870137
40,1986,F,24500222
45,1986,F,22115092
50,1986,F,20813944
55,1986,F,17516006
60,1986,F,14670564
65,1986,F,12658909
70,1986,F,9474166
75,1986,F,5747346
80,1986,F,2854977
85,1986,F,942661
90,1986,F,198835
95,1986,F,25247
100,1986,F,1881
0,1987,F,57725157
5,1987,F,46741747
10,1987,F,55936164
15,1987,F,64711874
20,1987,F,57571983
25,1987,F,44943095
30,1987,F,44244036
35,1987,F,36936947
40,1987,F,25610565
45,1987,F,22171733
50,1987,F,21086330
55,1987,F,18108211
60,1987,F,14903179
65,1987,F,12730909
70,1987,F,9759781
75,1987,F,6000224
80,1987,F,2977583
85,1987,F,1052662
90,1987,F,222084
95,1987,F,34174
100,1987,F,2025
0,1988,F,61144869
5,1988,F,47273166
10,1988,F,53007733
15,1988,F,63944733
20,1988,F,60245425
25,1988,F,47007417
30,1988,F,43134514
35,1988,F,40048481
40,1988,F,27008090
45,1988,F,22303501
50,1988,F,21291724
55,1988,F,18740681
60,1988,F,15207936
65,1988,F,12805695
70,1988,F,10054560
75,1988,F,6263995
80,1988,F,3085513
85,1988,F,1130518
90,1988,F,241874
95,1988,F,41169
100,1988,F,2180
0,1989,F,63446814
5,1989,F,48577048
10,1989,F,50379713
15,1989,F,62602996
20,1989,F,62425515
25,1989,F,49391460
30,1989,F,42349304
35,1989,F,42536005
40,1989,F,28792009
45,1989,F,22649519
50,1989,F,21452489
55,1989,F,19330467
60,1989,F,15600916
65,1989,F,12935027
70,1989,F,10336563
75,1989,F,6536725
80,1989,F,3199856
85,1989,F,1176590
90,1989,F,250136
95,1989,F,41694
100,1989,F,2369
0,1990,F,64094588
5,1990,F,50169756
10,1990,F,48525604
15,1990,F,60807019
20,1990,F,63877295
25,1990,F,51907908
30,1990,F,42432932
35,1990,F,44018789
40,1990,F,30995258
45,1990,F,23303843
50,1990,F,21598087
55,1990,F,19828966
60,1990,F,16091508
65,1990,F,13151297
70,1990,F,10593783
75,1990,F,6823984
80,1990,F,3334716
85,1990,F,1193395
90,1990,F,240716
95,1990,F,32154
100,1990,F,2608
0,1991,F,65398064
5,1991,F,51959459
10,1991,F,47269611
15,1991,F,58273372
20,1991,F,64314175
25,1991,F,54330176
30,1991,F,43054238
35,1991,F,44346363
40,1991,F,33441110
45,1991,F,24095766
50,1991,F,21595928
55,1991,F,20082759
60,1991,F,16504464
65,1991,F,13257267
70,1991,F,10653462
75,1991,F,7058351
80,1991,F,3535579
85,1991,F,1311633
90,1991,F,296327
95,1991,F,38408
100,1991,F,2895
0,1992,F,62584410
5,1992,F,54776159
10,1992,F,46941563
15,1992,F,55509938
20,1992,F,64295179
25,1992,F,57146046
30,1992,F,44568952
35,1992,F,43818749
40,1992,F,36508872
45,1992,F,25210709
50,1992,F,21672151
55,1992,F,20357758
60,1992,F,17085747
65,1992,F,13482828
70,1992,F,10726877
75,1992,F,7325034
80,1992,F,3739355
85,1992,F,1401345
90,1992,F,344110
95,1992,F,49361
100,1992,F,3250
0,1993,F,57171501
5,1993,F,58302776
10,1993,F,47327877
15,1993,F,52714467
20,1993,F,63705992
25,1993,F,59966982
30,1993,F,46747410
35,1993,F,42842617
40,1993,F,39702091
45,1993,F,26662548
50,1993,F,21864452
55,1993,F,20617794
60,1993,F,17741758
65,1993,F,13807960
70,1993,F,10828973
75,1993,F,7599662
80,1993,F,3939258
85,1993,F,1462039
90,1993,F,381509
95,1993,F,58600
100,1993,F,3657
0,1994,F,51596932
5,1994,F,61641783
10,1994,F,48317380
15,1994,F,50233810
20,1994,F,62437434
25,1994,F,62211400
30,1994,F,49177900
35,1994,F,42118810
40,1994,F,42226404
45,1994,F,28464687
50,1994,F,22235821
55,1994,F,20812727
60,1994,F,18333860
65,1994,F,14205495
70,1994,F,10972641
75,1994,F,7837424
80,1994,F,4124425
85,1994,F,1507380
90,1994,F,394379
95,1994,F,60088
100,1994,F,4086
0,1995,F,47584433
5,1995,F,63594495
10,1995,F,50022703
15,1995,F,48364665
20,1995,F,60522795
25,1995,F,63533613
30,1995,F,51584925
35,1995,F,42127194
40,1995,F,43621615
45,1995,F,30596097
50,1995,F,22844000
55,1995,F,20933188
60,1995,F,18787101
65,1995,F,14660518
70,1995,F,11167962
75,1995,F,8021081
80,1995,F,4295319
85,1995,F,1545173
90,1995,F,373665
95,1995,F,48610
100,1995,F,4522
0,1996,F,40970856
5,1996,F,64088028
10,1996,F,52893087
15,1996,F,47492503
20,1996,F,58533992
25,1996,F,64553766
30,1996,F,54488142
35,1996,F,43134555
40,1996,F,44341164
45,1996,F,33313139
50,1996,F,23838063
55,1996,F,21112400
60,1996,F,19198673
65,1996,F,15186211
70,1996,F,11379616
75,1996,F,8163406
80,1996,F,4542912
85,1996,F,1728507
90,1996,F,440443
95,1996,F,61618
100,1996,F,5000
0,1997,F,38848896
5,1997,F,61950526
10,1997,F,56280095
15,1997,F,46980807
20,1997,F,55712310
25,1997,F,64481872
30,1997,F,57268621
35,1997,F,44616214
40,1997,F,43774026
45,1997,F,36344666
50,1997,F,24924995
55,1997,F,21166262
60,1997,F,19451728
65,1997,F,15726112
70,1997,F,11583216
75,1997,F,8227166
80,1997,F,4747355
85,1997,F,1867874
90,1997,F,486797
95,1997,F,81869
100,1997,F,5473
0,1998,F,39829315
5,1998,F,57435004
10,1998,F,59830615
15,1998,F,47062386
20,1998,F,52609592
25,1998,F,63535924
30,1998,F,59764894
35,1998,F,46538433
40,1998,F,42561831
45,1998,F,39311409
50,1998,F,26218935
55,1998,F,21242400
60,1998,F,19603634
65,1998,F,16261767
70,1998,F,11824281
75,1998,F,8273706
80,1998,F,4911381
85,1998,F,1956722
90,1998,F,520018
95,1998,F,97536
100,1998,F,5976
0,1999,F,41326878
5,1999,F,51895904
10,1999,F,62577739
15,1999,F,48012650
20,1999,F,49961102
25,1999,F,62061671
30,1999,F,61796169
35,1999,F,48797052
40,1999,F,41707984
45,1999,F,41677517
50,1999,F,27905342
55,1999,F,21549171
60,1999,F,19740091
65,1999,F,16775068
70,1999,F,12165082
75,1999,F,8375142
80,1999,F,5037990
85,1999,F,2017887
90,1999,F,531239
95,1999,F,99855
100,1999,F,6561
0,2000,F,41568117
5,2000,F,47273938
10,2000,F,63443077
15,2000,F,49887010
20,2000,F,48167365
25,2000,F,60244382
30,2000,F,63202883
35,2000,F,51265265
40,2000,F,41786171
45,2000,F,43122864
50,2000,F,30052659
55,2000,F,22197439
60,2000,F,19905628
65,2000,F,17246936
70,2000,F,12628008
75,2000,F,8565201
80,2000,F,5136797
85,2000,F,2062956
90,2000,F,516597
95,2000,F,82453
100,2000,F,7263
0,2001,F,43295496
5,2001,F,44046101
10,2001,F,62121134
15,2001,F,52402660
20,2001,F,46895957
25,2001,F,57772446
30,2001,F,63682441
35,2001,F,53698602
40,2001,F,42432435
45,2001,F,43463280
50,2001,F,32455798
55,2001,F,22970384
60,2001,F,19909745
65,2001,F,17457915
70,2001,F,12970691
75,2001,F,8685509
80,2001,F,5229171
85,2001,F,2247517
90,2001,F,604995
95,2001,F,96051
100,2001,F,8077
0,2002,F,43015470
5,2002,F,42104373
10,2002,F,59082351
15,2002,F,56032504
20,2002,F,46379389
25,2002,F,54977592
30,2002,F,63612227
35,2002,F,56442001
