economy,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.38747276458,175.334901401951,168.770831965808,163.293105588603,164.569153093089,145.073177713897,139.045679371545,134.302158273381,133.969043670536,133.642516921534,146.500479386385,143.963133640553,142.960905789361,145.889295889296,140.062597809077,138.607151203552,151.599474145486,147.674674895305,161.891280319633,162.882083851024,145.8337622704,142.239676608958,143.804237885046,148.425802450609,,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9492569179226,43.0022809385558,43.8555271097746,44.9475779530294,47.2619609179024,49.3253511974251,48.7571361688282,46.4345010615615,47.208597934464,45.4247387408503,63.1029125595603,64.0362644215029,60.0294959666197,57.3889678993526,58.2723369455865,60.6533867378704,61.0488701758178,66.9721970278898,74.6203927439171,64.7441954177244,64.4952751008037,64.9321304625237,62.8229865437369,62.3712953858746,59.5911374996645,54.4788394824349,52.5629932979668,51.0527914093996,54.7764485288844,52.4962376821382,49.8619397250217
AFG,11.157026581176,12.5506095641626,14.2276444262674,26.0355114281704,26.9444479475307,32.6710826152849,27.1428573129252,20.9827354616946,24.110033071763,25.0788642331499,21.7281100678648,27.0631374536424,32.8690810352185,27.6923087928994,28.8659801551706,26.9483576711852,28.0869566604915,26.4860798295929,24.7138040330125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFW,33.2193942222449,33.0808017871262,29.3815914362636,29.8692447708219,31.379128310118,33.9120546610352,31.8067958696304,34.7686483019232,33.6606000809217,34.6029448742241,30.3928912917238,33.4471422634117,32.8321172630639,38.3506431319265,46.7619347982986,46.3525751837763,46.866856286341,50.4224367546754,47.1688262459112,47.5311887486743,51.3262990308274,31.3224986943793,27.7353444934643,25.3246458094855,25.9517942112778,27.8089447285284,25.0878306368448,31.443292475373,28.6315701108547,40.2246639706897,37.8521750707789,41.1125893897411,41.9541063509686,39.1962373532184,36.5059160853282,47.2225323997407,47.4275867893787,56.0687031412708,47.619021376191,43.9068555746699,56.4804133591017,56.5504137857013,50.3657879670574,55.5691892273837,44.7126554775812,47.0337001264953,51.3152931242004,49.9526454184336,51.2112134195974,47.3285474190377,53.4754335485484,60.7952313118844,55.7679046819875,44.0048481018142,43.5426704791485,37.7278641312887,36.2972982156934,40.1766205944544,44.4052052564011,45.6087655384592,37.5321008251626
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.547109454858,150.335794690093,105.301742600149,103.901226814948,103.579924362095,106.590962129525,94.6251593320477,108.060067893978,121.36470790564,122.446142344145,104.123629959119,99.9825078537909,91.8000986064676,86.8119307833605,79.3329275092697,62.8885207850511,53.3701552785467,52.256821448818,66.3781108165459,64.2885787245042,66.9074761537227
ALB,,,,,,,,,,,,,,,,,,,,,47.4940925041872,46.1004662837047,44.8105616083383,40.4106676033234,38.1156830212927,35.9348239721958,31.637304878056,32.159563916938,36.89787073527,40.066086463479,39.4369634031142,36.0705200632829,108.785472241159,80.518332770413,53.1025847356112,47.6105948729712,44.895444716607,45.4255562530936,48.1375348189415,51.0110303565873,63.454073132628,66.4910240323437,68.5250682234387,67.0205610427628,67.0471873068205,70.8723467754672,74.2670902393052,83.2020801053931,77.4517514962857,75.0949144008056,76.5433902447878,81.218568933066,76.5102006210933,75.8737138467897,75.4078455964825,71.801006339647,74.809862823171,78.1942739956599,76.8081181330347,76.2870595704158,60.9699209340559
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,59.8081337025974,60.3315302523784,63.1604915452302,83.3258362559111,74.6983896613562,83.3400888219569,77.2041551596674,81.6393155274296,79.7762208384778,82.1062412411964,86.8068605027057,88.568256578367,84.262052483324,75.9993204558575,72.3238674460985,64.8755941482041,57.2107953344541,59.462613053877,61.4112900040211,66.2523095875153,65.9064937876397,69.2238025402584,64.3708113150564,59.9645186331232,58.2236766265402,61.6298755359616,61.1574337702261,69.429096077008,68.0509506320198,68.0943805708175,72.6091980302613,74.1545815884877,74.4307781428175,81.1510322095709,85.5753915211272,89.7104509716836,90.0482437680598,94.0932950619695,98.0552076313827,90.3152497993976,87.7405608042564,90.9573299241281,92.4232552016462,91.6305645996613,89.9228943839114,85.7438363981405,79.7156260861542,83.3718747455267,83.7933408543547,82.3271882839261,54.125481428931
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8645799289427,93.0716588147781,102.300169490783,116.622612523831,119.552871642254,119.470669577786,136.798152865771,148.513544025723,153.461944358373,143.877531844201,151.665953575846,164.249347960724,165.275953290011,168.492307775439,175.221307567909,176.747648042171,175.004350441289,159.728773537434,167.694152655127,
ARG,15.2080960873797,11.9898923109727,14.0755256495637,15.7809062353749,11.1274296795488,10.3764574099485,11.6426054171411,12.4926603729179,11.8881648852942,12.7974266330598,10.3374440809233,12.6151889155439,14.0356431972715,13.3221685115576,13.1915798576321,11.8027242947756,15.0968846246649,16.9422865680472,14.3237963724531,12.8406846410014,11.5456724604615,14.2929774789475,15.6114860999886,14.9876701068591,12.3463814292217,18.009425070688,14.4860327921395,15.448969882952,15.743458608705,19.6377977018838,14.9908589999441,13.7530541588891,14.730980586353,16.223151447784,18.1343458669981,19.7714230903755,21.5064684057215,23.3361788437439,23.3500279730689,21.3827449624898,22.6224447777343,21.8522554515453,41.7527243585642,40.6447480311085,40.692646108947,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.0938878488799,25.2896011376779,30.7625359549926,32.2144471852471,30.148141556266
