Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9111,Watch cases and parts thereof,1,No Quantity,0,,,,2234,,2159925,,,6
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911110,Watch cases; of precious metal or of metal clad with precious metal,5,Number of items,355676,,,,4,,240464,,,6
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911120,"Watch cases; of base metal, whether or not gold-plated or silver-plated",5,Number of items,775902,,,,,,1761355,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911180,Watch cases; n.e.c. in heading no. 9111,5,Number of items,209108,,,,,,81249,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911190,Watch cases and parts thereof,8,Weight in kilograms,1619,,,,1619,,76857,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9112,Clock cases and cases of a similar type for other goods of this chapter and parts thereof,1,No Quantity,0,,,,0,,497358,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911220,Clock cases and similar cases for other goods of chapter 91; other than watch cases,5,Number of items,113369,,,,,,244938,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911290,"Clock cases and similar cases for other goods of chapter 91; other than watch cases, parts thereof",8,Weight in kilograms,22020,,,,22020,,252412,,,0
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9113,"Watch straps, watch bands, watch bracelets and parts thereof",1,No Quantity,0,,,,0,,17560447,,,6
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911310,"Watch straps, watch bands, watch bracelets, and parts thereof; of precious metal or of metal clad with precious metal",8,Weight in kilograms,72,,,,72,,4865,,,6
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911320,"Watch straps, watch bands, watch bracelets, and parts thereof; of base metal, whether or not gold- or silver-plated",8,Weight in kilograms,274733,,,,274733,,7068615,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911390,"Watch straps, watch bands, watch bracelets, and parts thereof; n.e.c. in heading no. 9113",8,Weight in kilograms,333425,,,,333425,,10471215,,,6
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9114,Clock or watch parts; n.e.c. in chapter 91,1,No Quantity,0,,,,0,,4245414,,,6
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911410,"Clock or watch parts; springs, including hairsprings",8,Weight in kilograms,1411,,,,1411,,31740,,,6
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911430,Clock or watch parts; dials,8,Weight in kilograms,3856,,,,3856,,68405,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911440,Clock or watch parts; plates and bridges,8,Weight in kilograms,407,,,,407,,4793,,,0
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,911490,"Clock or watch parts; other than springs (including hairsprings), dials, plates, and bridges",8,Weight in kilograms,102420,,,,102420,,4140103,,,6
H5,2018,2018,2018,2,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,92,Musical instruments; parts and accessories of such articles,1,No Quantity,0,,,,0,,495588102,,,4
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9201,"Pianos; including automatic pianos, harpsichords and other keyboard stringed instruments",5,Number of items,16419,,,,379524,,16082447,,,6
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,920110,"Musical instruments; pianos, upright, including automatic pianos",5,Number of items,3048,,,,241831,,5039231,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,920120,"Musical instruments; pianos, grand",5,Number of items,3072,,,,133981,,10757076,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,920190,Musical instruments; harpsichords and other keyboard stringed instruments n.e.c. in heading no. 9201,5,Number of items,10299,,,,3710,,286140,,,6
H5,2018,2018,2018,4,0,2,Export,156,China,CHN,842,USA,USA,,,,,,,,9202,"Musical instruments; string, n.e.c. in heading no. 9201, (e.g. guitars, violins, harps)",1,No Quantity,0,,,,0,,130585338,,,4
H5,2018,2018,2018,6,1,2,Export,156,China,CHN,842,USA,USA,,,,,,,,920210,"Musical instruments; string, played with a bow (e.g. violins)",5,Number of items,447647,,,,,,36668745,,,4
